time,Z_value
Started:, 
0,0
0.0018,9.56682
0.0397,9.88763
0.0771,9.63146
0.1152,9.77151
0.1535,9.89242
0.1916,9.77032
0.2295,9.94149
0.2672,9.83496
0.3054,9.74877
0.3431,9.67934
0.3815,9.60872
0.4192,9.87326
0.457,9.84813
0.4959,9.75236
0.5333,9.82658
0.5716,9.43275
0.6091,9.58717
0.6475,9.83376
0.6843,9.97621
0.7268,9.78468
0.7605,9.88882
0.798,9.77271
0.8371,9.71166
0.874,9.6566
0.9122,9.5333
0.9503,9.71765
0.9885,9.79426
1.0257,9.56203
1.0633,9.62667
1.1025,9.47105
1.1395,9.62308
1.1772,9.58477
1.2158,9.75715
1.2531,9.60872
1.2915,9.32262
1.329,9.20292
1.3672,8.56848
1.4051,8.40688
1.4432,8.7229
1.482,8.32308
1.5186,7.65872
1.5562,6.92852
1.5947,6.66757
1.6322,6.72143
1.67,6.02116
1.71,6.1265
1.7464,7.06738
1.7841,8.38653
1.8221,8.82944
1.8617,9.47704
1.8973,10.12225
1.9362,9.29868
1.9735,11.08468
2.0117,12.43734
2.0501,13.2681
2.0877,14.768
2.1254,17.22674
2.1633,17.7271
2.2011,19.38861
2.2397,18.93612
2.2766,17.89709
2.3156,15.90998
2.3531,14.91404
2.3912,13.87021
2.4289,13.06579
2.4662,9.79785
2.5042,6.58497
2.5419,4.48175
2.5798,4.74151
2.6184,2.45275
2.6564,3.42356
2.6937,4.34649
2.732,3.29189
2.7696,6.60173
2.8083,8.8845
2.8456,7.85983
2.8831,10.32934
2.9217,10.83569
2.9598,9.4914
2.9974,9.49859
3.0353,9.88045
3.0725,9.54527
3.1113,9.3322
3.1487,9.27833
3.187,9.32382
3.2248,8.70375
3.263,7.98432
3.3007,6.94169
3.3382,5.90983
3.3787,4.71757
3.4141,4.66251
3.4522,5.03718
3.4901,6.35394
3.5279,6.31324
3.5656,7.34749
3.6041,10.1809
3.641,8.88809
3.6805,8.62833
3.7172,13.03826
3.7559,11.42943
3.7945,13.83789
3.8314,17.51163
3.8683,20.88253
3.9071,19.34192
3.9455,20.46715
3.9826,19.27728
4.0206,17.42305
4.059,14.67463
4.0966,12.65281
4.1349,12.40622
4.1723,11.70475
4.2102,8.73248
4.2479,4.98691
4.2863,5.55551
4.3242,4.62181
4.362,3.47743
4.3999,4.54639
4.4382,4.90431
4.4763,5.86075
4.5137,7.1392
4.5514,7.43487
4.5901,7.7485
4.6288,9.90798
4.6647,10.04324
4.7033,9.70568
4.7408,10.04085
4.7791,9.63146
4.8169,9.51295
4.8545,9.12271
4.898,7.99868
4.9304,6.99077
4.9685,6.816
5.0064,5.95412
5.0442,4.5428
5.0823,4.08194
5.1202,5.16527
5.1585,5.16287
5.196,6.98598
5.2336,9.08201
5.2722,9.20292
5.3093,9.70208
5.3475,12.68633
5.3864,13.68347
5.4233,14.82546
5.4622,17.4458
5.4993,18.28254
5.5377,18.71228
5.5758,20.64312
5.6132,17.8085
5.6506,16.63899
5.6888,15.59396
5.7275,13.36386
5.7643,12.28053
5.8026,10.79858
5.8411,8.61157
5.8788,5.96729
5.9167,5.02521
5.9543,3.63664
5.9921,3.31702
6.0326,4.95459
6.0682,5.86315
6.1063,6.62208
6.1441,6.34676
6.1819,7.41931
6.2204,9.6937
6.258,10.32814
6.296,9.76912
6.3331,9.66019
6.3709,9.74997
6.4097,9.54527
6.4473,9.67096
6.4853,9.22446
6.5231,8.55651
6.5614,8.0334
6.5994,7.25891
6.6367,6.46646
6.6747,6.14086
6.7124,4.61462
6.7505,5.88589
6.7886,5.18682
6.8266,4.10827
6.8641,6.83036
6.902,9.95466
6.9398,10.35208
6.9782,11.50245
7.0173,13.47519
7.0538,13.66791
7.0916,15.08402
7.1301,19.7166
7.1689,20.46236
7.2058,17.83244
7.2436,18.62609
7.2816,16.97177
7.3195,14.45198
7.3581,14.06653
7.3966,13.9959
7.433,10.49693
7.4704,8.40927
7.5092,7.83349
7.5518,5.35201
7.5851,4.0173
7.6226,4.53921
7.6604,4.40394
7.6987,5.8811
7.7374,6.97281
7.7743,6.71545
7.8117,5.99004
7.8499,8.01185
7.8877,9.93192
7.9282,9.63625
7.9634,10.07557
8.0021,9.85411
8.0431,9.64343
8.0782,9.62787
8.116,9.22805
8.1541,8.8043
8.1913,8.54933
8.2288,8.65946
8.2666,7.83708
8.3052,6.61729
8.3425,5.70274
8.3805,4.92586
8.4186,5.17844
8.4559,3.84851
8.4942,4.15496
8.5332,5.0719
8.5692,7.13322
8.6083,9.98818
8.6462,11.67363
8.6859,11.60779
8.7225,12.40981
8.7612,15.3366
8.7983,17.15731
8.8363,21.81623
8.8742,20.97709
8.9128,20.02663
8.9497,20.75444
8.9872,18.54589
9.0256,14.57288
9.0629,11.65447
9.101,11.32169
9.1391,10.93265
9.1768,9.38726
9.2143,5.93856
9.253,4.77982
9.2904,5.00367
9.3281,3.82816
9.3676,3.75514
9.4037,5.16527
9.4425,5.84998
9.4806,6.41858
9.519,5.82604
9.5564,8.1543
9.5946,9.60153
9.6332,9.9391
9.6696,10.1845
9.708,9.9403
9.746,9.28431
9.7841,10.17013
9.8222,9.36212
9.8592,8.42483
9.8996,7.87299
9.936,7.08294
9.9735,6.00799
10.0107,5.13175
10.0492,4.1801
10.0868,4.35606
10.1253,3.82218
10.1631,4.10708
10.202,6.32521
10.2386,7.93285
10.2762,7.67548
10.314,10.55079
10.3522,14.32868
10.3906,14.16229
10.4286,17.23871
10.4664,19.82793
10.5036,22.68528
10.5416,20.71255
10.5824,19.90454
10.6179,17.933
10.6561,16.23798
10.6939,14.23771
10.7336,12.66119
10.7693,10.42869
10.8074,8.81627
10.8453,7.72815
10.8833,5.34602
10.9211,3.9742
10.9643,4.66251
10.9967,4.44584
11.035,4.49133
11.0723,7.29482
11.1105,7.82032
11.1486,6.73939
11.1868,6.49519
11.2243,7.59049
11.2625,9.97381
11.3,10.72796
11.3445,9.94269
11.3761,9.20651
11.4138,9.91157
11.4514,10.06599
11.4896,9.99417
11.528,9.83855
11.5646,9.09997
11.6033,8.58763
11.6419,8.09804
11.6796,7.67787
11.7177,7.35826
11.7546,6.41379
11.7926,5.34602
11.8318,5.33764
11.8686,4.26748
11.9076,2.78673
11.9453,4.63258
11.9826,5.10063
12.0206,6.05946
12.0588,10.78781
12.0962,13.11487
12.1341,14.76441
12.1717,16.60068
12.2104,18.42738
12.2495,22.26033
12.2865,21.11356
12.3239,21.85812
12.3627,19.5957
12.3992,15.94829
12.4374,13.76008
12.4761,14.04498
12.5138,11.14333
12.552,8.57566
12.5897,7.06977
12.6269,6.2462
12.6651,4.85044
12.703,3.99815
12.7411,4.77024
12.7793,5.28138
12.8169,5.81766
12.8593,6.65919
12.8928,6.45449
12.9302,6.45928
12.968,8.22852
13.0078,9.58477
13.0443,10.23717
13.0824,10.15816
13.1203,9.61111
13.1584,9.6159
13.1962,9.55245
13.2344,9.54527
13.2712,9.23643
13.3094,9.331
13.3475,9.18376
13.3877,8.71332
13.4242,7.99629
13.4607,7.21941
13.4994,6.68911
13.5375,6.12889
13.5753,6.28451
13.6125,4.71159
13.6505,4.36205
13.6889,5.11739
13.7271,5.4358
13.7646,7.33791
13.8038,8.05135
13.8402,10.12225
13.8792,11.66884
13.9174,14.74645
13.9539,19.56218
13.992,20.21577
14.0304,21.30868
14.0681,21.5409
14.1065,21.83897
14.1439,18.69911
14.1823,14.25686
14.2192,12.11893
14.2578,12.27215
14.2959,9.3298
14.3336,8.59481
14.3772,7.12843
14.409,4.53323
14.4479,4.80136
14.4844,4.97494
14.5229,4.82291
14.5616,6.08819
14.5992,6.52392
14.6372,8.14832
14.6753,6.43294
14.7127,7.23138
14.7537,8.09564
14.7884,8.90006
14.8264,9.8182
14.8637,9.91995
14.9028,9.82658
14.9406,9.37529
14.9783,9.12032
15.0164,9.06047
15.0613,8.53616
15.0919,8.69896
15.1295,7.91728
15.1669,6.2893
15.206,5.65366
15.2432,4.9893
15.2835,4.00772
15.3191,3.48461
15.3568,3.83535
15.3952,5.04078
15.4321,7.02189
15.4706,8.74564
15.5113,10.6693
15.5461,11.95733
15.5835,15.32822
15.6219,17.5272
15.6602,19.70343
15.6982,18.30887
15.7357,18.70988
15.7746,20.65987
15.8122,18.63686
15.8501,16.60547
15.8877,14.17067
15.9262,13.05143
15.9637,12.3344
16.0019,9.98219
16.0428,6.58257
16.0771,6.4509
16.1168,5.91821
16.1535,3.35772
16.1911,6.75495
16.2302,8.1555
16.2692,6.66038
16.3059,5.20477
16.3435,5.68239
16.3814,6.03073
16.4189,7.63478
16.4573,9.98818
16.4963,9.63625
16.5321,8.50264
16.5695,9.40402
16.6086,9.69371
16.6465,9.88164
16.6841,9.84453
16.7222,9.27833
16.7611,8.60559
16.8003,9.94269
16.838,9.01019
16.8749,7.73174
16.911,7.65992
16.9505,6.86747
16.9871,5.29455
17.0327,3.61748
17.0633,4.43986
17.101,2.26961
17.139,2.29474
17.1767,6.17797
17.2142,6.00081
17.2529,7.34629
17.291,12.96644
17.3294,14.54774
17.3661,14.77638
17.4037,21.54569
17.4419,21.07046
17.4805,20.26126
17.5182,27.02698
17.5576,22.95462
17.594,15.28632
17.6325,12.79646
17.6694,13.58651
17.7081,11.70116
17.7469,9.18855
17.7841,6.38626
17.8221,5.10901
17.8601,5.06831
17.8982,4.06638
17.9362,2.84419
17.9745,3.48581
18.0108,4.47696
18.05,7.33791
18.0876,7.15955
18.1255,7.02069
18.1634,10.85843
18.2015,9.72603
18.2392,8.17824
18.277,10.29702
18.3136,10.73155
18.3528,9.36212
18.3913,10.19168
18.4288,10.80098
18.4659,9.76074
18.5046,9.46507
18.5442,10.19886
18.5797,9.46268
18.6171,9.67336
18.6562,10.47658
18.6946,9.72842
18.7321,9.47704
18.769,9.84573
18.8079,9.72124
18.8458,9.44113
18.8837,9.6159
18.9206,9.69849
18.9597,9.85052
18.9975,9.96304
19.036,9.81102
19.072,9.54168
19.1107,9.80503
19.1498,9.56323
19.1867,9.70209
19.224,9.61709
19.2623,9.61949
19.3005,9.93312
19.3383,9.80264
19.3768,9.87925
19.4144,9.72962
19.4521,9.66139
19.4892,9.6949
19.5283,9.76433
19.5654,9.70089
19.6038,9.58238
19.6452,10.07437
19.679,9.79306
19.7171,9.80862
